0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	3
38	3
39	3
40	3
41	3
42	4
43	4
44	4
45	5
46	5
47	5
48	6
49	6
50	7
51	7
52	8
53	9
54	10
55	11
56	12
57	14
58	16
59	18
60	20
61	22
62	25
63	27
64	30
65	34
66	37
67	41
68	45
69	49
70	53
71	58
72	63
73	68
74	72
75	77
76	82
77	87
78	92
79	97
80	102
81	107
82	111
83	116
84	120
85	125
86	129
87	133
88	137
89	141
90	145
91	148
92	151
93	154
94	157
95	159
96	161
97	164
98	166
99	168
100	170
101	171
102	173
103	174
104	175
105	176
106	177
107	178
108	179
109	180
110	181
111	182
112	183
113	184
114	185
115	186
116	187
117	188
118	188
119	189
120	190
121	191
122	192
123	192
124	193
125	194
126	195
127	196
128	196
129	197
130	198
131	198
132	199
133	199
134	200
135	201
136	201
137	202
138	202
139	203
140	204
141	204
142	205
143	206
144	207
145	207
146	208
147	209
148	209
149	210
150	211
151	212
152	212
153	213
154	214
155	214
156	215
157	215
158	216
159	217
160	217
161	218
162	218
163	219
164	219
165	220
166	220
167	221
168	221
169	222
170	223
171	223
172	224
173	224
174	225
175	225
176	226
177	226
178	226
179	227
180	227
181	228
182	228
183	229
184	229
185	230
186	230
187	231
188	231
189	232
190	232
191	232
192	233
193	233
194	234
195	234
196	235
197	235
198	235
199	236
200	236
201	237
202	237
203	237
204	238
205	238
206	239
207	239
208	240
209	240
210	240
211	241
212	241
213	242
214	242
215	243
216	243
217	244
218	244
219	244
220	245
221	245
222	246
223	246
224	247
225	247
226	248
227	248
228	249
229	249
230	249
231	250
232	250
233	251
234	251
235	251
236	252
237	252
238	252
239	253
240	253
241	253
242	253
243	253
244	254
245	254
246	254
247	254
248	254
249	254
250	254
251	254
252	254
253	254
254	254
255	254
