0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	1	0	0
14	1	0	0
15	1	0	0
16	1	0	0
17	2	0	0
18	2	0	0
19	2	1	0
20	3	1	0
21	3	1	0
22	4	1	0
23	5	1	0
24	6	1	0
25	7	1	0
26	9	1	1
27	10	1	1
28	12	1	1
29	15	1	1
30	17	2	1
31	20	2	1
32	23	2	1
33	26	2	1
34	29	2	1
35	33	2	1
36	37	2	1
37	41	3	1
38	45	3	1
39	49	3	1
40	55	3	1
41	60	3	1
42	65	4	2
43	71	4	2
44	76	4	2
45	81	4	2
46	86	5	2
47	91	5	2
48	96	5	2
49	102	6	2
50	106	6	2
51	111	7	2
52	115	7	2
53	120	8	2
54	124	9	2
55	128	9	2
56	132	10	2
57	135	12	2
58	139	13	2
59	142	15	2
60	145	17	2
61	147	19	2
62	149	21	2
63	151	23	3
64	153	26	3
65	155	28	3
66	156	32	3
67	158	35	3
68	159	38	3
69	160	42	3
70	161	46	3
71	162	50	3
72	163	54	3
73	164	59	3
74	165	64	3
75	167	69	3
76	168	73	3
77	169	78	3
78	169	83	4
79	170	87	4
80	171	92	4
81	172	97	4
82	173	101	4
83	173	106	4
84	174	110	5
85	175	114	5
86	176	118	5
87	176	123	6
88	177	127	6
89	178	131	7
90	178	135	7
91	179	139	8
92	180	143	8
93	180	146	9
94	181	149	9
95	182	152	10
96	182	155	10
97	183	157	11
98	184	159	11
99	184	162	12
100	185	164	12
101	186	166	13
102	186	168	13
103	187	169	14
104	188	171	14
105	188	173	15
106	189	174	15
107	190	176	16
108	190	177	17
109	191	178	17
110	192	179	18
111	192	180	19
112	193	182	19
113	194	183	20
114	194	184	21
115	195	185	22
116	195	186	23
117	196	187	24
118	197	187	25
119	197	188	27
120	198	189	28
121	198	190	29
122	199	191	31
123	199	192	32
124	200	193	34
125	200	194	35
126	201	194	37
127	201	195	39
128	202	196	40
129	202	197	42
130	203	197	44
131	203	198	46
132	204	199	48
133	204	199	50
134	205	200	53
135	205	200	55
136	206	201	58
137	206	202	60
138	207	202	63
139	208	203	66
140	208	204	70
141	209	204	73
142	209	205	77
143	210	206	81
144	211	207	85
145	211	207	89
146	212	208	94
147	212	209	99
148	213	210	104
149	213	210	109
150	214	211	114
151	215	212	119
152	215	212	124
153	216	213	129
154	216	214	135
155	217	214	140
156	217	215	146
157	218	216	151
158	218	216	156
159	219	217	161
160	219	217	165
161	220	218	169
162	220	218	173
163	221	219	177
164	221	219	180
165	221	220	184
166	222	221	188
167	222	221	191
168	223	222	195
169	223	222	198
170	224	223	201
171	224	223	204
172	225	224	207
173	225	224	209
174	226	225	211
175	226	225	213
176	227	226	215
177	227	226	216
178	228	226	218
179	228	227	219
180	229	227	221
181	229	228	222
182	230	228	223
183	230	229	223
184	231	229	224
185	231	230	225
186	232	230	226
187	232	231	227
188	233	231	228
189	233	232	229
190	234	232	229
191	234	232	230
192	235	233	230
193	235	233	231
194	236	233	231
195	236	234	232
196	236	234	232
197	237	235	233
198	237	235	233
199	238	236	234
200	238	236	234
201	239	236	235
202	239	237	235
203	240	237	236
204	240	237	236
205	241	238	236
206	241	238	237
207	242	239	237
208	242	239	238
209	243	240	238
210	243	240	238
211	244	240	239
212	244	241	239
213	245	241	240
214	245	241	240
215	245	242	240
216	246	242	241
217	246	243	241
218	247	243	242
219	247	244	242
220	248	244	242
221	248	244	243
222	248	245	243
223	249	245	243
224	249	245	244
225	249	246	244
226	250	246	244
227	250	247	245
228	250	247	245
229	251	248	246
230	251	248	246
231	251	249	246
232	251	249	247
233	252	250	247
234	252	250	248
235	252	251	248
236	252	251	249
237	252	251	249
238	253	252	250
239	253	252	250
240	253	252	251
241	253	253	251
242	253	253	252
243	253	253	252
244	253	253	253
245	254	254	253
246	254	254	253
247	254	254	254
248	254	254	254
249	254	254	254
250	254	254	254
251	254	254	254
252	254	254	254
253	254	254	254
254	254	254	254
255	255	255	254
